neighborhood,year,n_permits,permits_per_sm
Fifth City,2007,1,8.269142670803808
Fifth City,2008,0,0
Fifth City,2009,0,0
Fifth City,2010,0,0
Fifth City,2011,1,8.269142670803808
Fifth City,2012,0,0
Fifth City,2013,0,0
Fifth City,2014,0,0
Fifth City,2015,0,0
Fifth City,2016,0,0
Fifth City,2017,0,0
Fifth City,2018,0,0
Fifth City,2019,0,0
Fifth City,2020,0,0
Fifth City,2021,0,0
Fuller Park,2006,1,158.31275874298697
Fuller Park,2007,0,0
Fuller Park,2008,0,0
Fuller Park,2009,0,0
Fuller Park,2010,0,0
Fuller Park,2011,0,0
Fuller Park,2012,0,0
Fuller Park,2013,0,0
Fuller Park,2014,0,0
Fuller Park,2015,1,158.31275874298697
Fuller Park,2016,0,0
Fuller Park,2017,0,0
Fuller Park,2018,0,0
Fuller Park,2019,0,0
Fuller Park,2020,0,0
Fuller Park,2021,0,0
Gage Park,2006,6,516.2223316646387
Gage Park,2007,0,0
Gage Park,2008,0,0
Gage Park,2009,0,0
Gage Park,2010,0,0
Gage Park,2011,0,0
Gage Park,2012,0,0
Gage Park,2013,0,0
Gage Park,2014,0,0
Gage Park,2015,0,0
Gage Park,2016,0,0
Gage Park,2017,0,0
Gage Park,2018,0,0
Gage Park,2019,0,0
Gage Park,2020,0,0
Gage Park,2021,0,0
Galewood,2006,0,0
Galewood,2007,0,0
Galewood,2008,0,0
Galewood,2009,0,0
Galewood,2010,0,0
Galewood,2011,0,0
Galewood,2012,1,36.02826566360294
Galewood,2013,0,0
Galewood,2014,0,0
Galewood,2015,2,72.05653132720587
Galewood,2016,0,0
Galewood,2017,4,144.11306265441175
Galewood,2018,0,0
Galewood,2019,0,0
Galewood,2020,0,0
Galewood,2021,0,0
Garfield Ridge,2006,1,29.372447950120186
Garfield Ridge,2007,0,0
Garfield Ridge,2008,0,0
Garfield Ridge,2009,0,0
Garfield Ridge,2010,0,0
Garfield Ridge,2011,0,0
Garfield Ridge,2012,0,0
Garfield Ridge,2013,0,0
Garfield Ridge,2014,0,0
Garfield Ridge,2015,0,0
Garfield Ridge,2016,0,0
Garfield Ridge,2017,0,0
Garfield Ridge,2018,0,0
Garfield Ridge,2019,0,0
Garfield Ridge,2020,0,0
Garfield Ridge,2021,2,58.74489590024037
Gold Coast,2006,0,0
Gold Coast,2007,2,16.377531480785798
Gold Coast,2008,2,16.377531480785798
Gold Coast,2009,3,24.566297221178697
Gold Coast,2010,1,8.188765740392899
Gold Coast,2011,3,24.566297221178697
Gold Coast,2012,6,49.132594442357394
Gold Coast,2013,2,16.377531480785798
Gold Coast,2014,3,24.566297221178697
Gold Coast,2015,2,16.377531480785798
Gold Coast,2016,3,24.566297221178697
Gold Coast,2017,6,49.132594442357394
Gold Coast,2018,6,49.132594442357394
Gold Coast,2019,5,40.9438287019645
