neighborhood,year,n_permits,permits_per_sm
Irving Park,2012,7,13.68148162665528
Irving Park,2013,5,9.772486876182343
Irving Park,2014,7,13.68148162665528
Irving Park,2015,8,15.635979001891748
Irving Park,2016,6,11.726984251418811
Irving Park,2017,5,9.772486876182343
Irving Park,2018,2,3.908994750472937
Irving Park,2019,2,3.908994750472937
Irving Park,2020,0,0
Irving Park,2021,1,1.9544973752364685
Jefferson Park,2006,4,3.5222686720892655
Jefferson Park,2007,8,7.044537344178531
Jefferson Park,2008,6,5.283403008133898
Jefferson Park,2009,3,2.641701504066949
Jefferson Park,2010,7,6.163970176156214
Jefferson Park,2011,2,1.7611343360446328
Jefferson Park,2012,2,1.7611343360446328
Jefferson Park,2013,1,0.8805671680223164
